pokemon_id,pokemon_name,pokemon_slug,generation,game,sprite_kind,image,sourceUrl
308,medicham,medicham,generation-iii,emerald,front_default,pokemon/medicham/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/308.png
309,electrike,electrike,generation-iii,emerald,front_default,pokemon/electrike/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/309.png
310,manectric,manectric,generation-iii,emerald,front_default,pokemon/manectric/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/310.png
311,plusle,plusle,generation-iii,emerald,front_default,pokemon/plusle/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/311.png
312,minun,minun,generation-iii,emerald,front_default,pokemon/minun/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/312.png
313,volbeat,volbeat,generation-iii,emerald,front_default,pokemon/volbeat/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/313.png
314,illumise,illumise,generation-iii,emerald,front_default,pokemon/illumise/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/314.png
315,roselia,roselia,generation-iii,emerald,front_default,pokemon/roselia/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/315.png
316,gulpin,gulpin,generation-iii,emerald,front_default,pokemon/gulpin/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/316.png
317,swalot,swalot,generation-iii,emerald,front_default,pokemon/swalot/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/317.png
318,carvanha,carvanha,generation-iii,emerald,front_default,pokemon/carvanha/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/318.png
319,sharpedo,sharpedo,generation-iii,emerald,front_default,pokemon/sharpedo/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/319.png
320,wailmer,wailmer,generation-iii,emerald,front_default,pokemon/wailmer/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/320.png
321,wailord,wailord,generation-iii,emerald,front_default,pokemon/wailord/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/321.png
322,numel,numel,generation-iii,emerald,front_default,pokemon/numel/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/322.png
323,camerupt,camerupt,generation-iii,emerald,front_default,pokemon/camerupt/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/323.png
324,torkoal,torkoal,generation-iii,emerald,front_default,pokemon/torkoal/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/324.png
325,spoink,spoink,generation-iii,emerald,front_default,pokemon/spoink/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/325.png
326,grumpig,grumpig,generation-iii,emerald,front_default,pokemon/grumpig/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/326.png
327,spinda,spinda,generation-iii,emerald,front_default,pokemon/spinda/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/327.png
